WordID	Kanji	Onyomi	Kunyomi	English	JLPT Level	Category
145	意味		いみ	meaning	N5	Vocabulary
146	妹		いもうと	(humble) younger sister	N5	Vocabulary
147	嫌		いや	unpleasant	N5	Vocabulary
148	入口		いりぐち	entrance	N5	Vocabulary
149	居る		いる	to be, to have (used for people and animals)	N5	Vocabulary
150	要る		いる	to need	N5	Vocabulary
151	入れる		いれる	to put in	N5	Vocabulary
152	色		いろ	colour	N5	Vocabulary
153			いろいろ	various	N5	Vocabulary
154	上		うえ	on top of	N5	Vocabulary
155	後ろ		うしろ	behind	N5	Vocabulary
156	薄い		うすい	thin,weak	N5	Vocabulary
157	歌		うた	song	N5	Vocabulary
158	歌う		うたう	to sing	N5	Vocabulary
159	生まれる		うまれる	to be born	N5	Vocabulary
160	海		うみ	sea	N5	Vocabulary
161	売る		うる	to sell	N5	Vocabulary
162	煩い		うるさい	noisy, annoying	N5	Vocabulary
163	上着		うわぎ	jacket	N5	Vocabulary
164	絵		え	picture	N5	Vocabulary
165	映画		えいが	movie	N5	Vocabulary
166	映画館		えいがかん	cinema	N5	Vocabulary
167	英語		えいご	English language	N5	Vocabulary
168			ええ	yes	N5	Vocabulary
169	駅		えき	station	N5	Vocabulary
170			エレベーター	elevator	N5	Vocabulary
171	鉛筆		えんぴつ	pencil	N5	Vocabulary
172			おいしい	delicious	N5	Vocabulary
173	多い		おおい	many	N5	Vocabulary
174	大きい		おおきい	big	N5	Vocabulary
175	大きな		おおきな	big	N5	Vocabulary
176	大勢		おおぜい	great number of people	N5	Vocabulary
177	お母さん		おかあさん	(honorable) mother	N5	Vocabulary
178	お菓子		おかし	sweets, candy	N5	Vocabulary
179	お金		おかね	money	N5	Vocabulary
180	起きる		おきる	to get up	N5	Vocabulary
181	置く		おく	to put	N5	Vocabulary
182	奥さん		おくさん	(honorable) wife	N5	Vocabulary
183	お酒		おさけ	alcohol, rice wine	N5	Vocabulary
184	お皿		おさら	plate, dish	N5	Vocabulary
185	伯父/叔父		おじいさん	grandfather, male senior citizen	N5	Vocabulary
186	教える		おしえる	to teach, to tell	N5	Vocabulary
187	伯父/叔父		おじさん	uncle, middle aged gentleman	N5	Vocabulary
188	押す		おす	to push, to stamp something	N5	Vocabulary
189	遅い		おそい	late, slow	N5	Vocabulary
190	お茶		おちゃ	green tea	N5	Vocabulary
191	お手洗い		おてあらい	bathroom	N5	Vocabulary
192	お父さん		おとうさん	(honorable) father	N5	Vocabulary
193	弟		おとうと	younger brother	N5	Vocabulary
194	男		おとこ	Man	N5	Vocabulary
195	男の子		おとこのこ	Boy	N5	Vocabulary
196	一昨日		おととい	day before yesterday	N5	Vocabulary
197	一昨年		おととし	year before last	N5	Vocabulary
198	大人		おとな	Adult	N5	Vocabulary
199			おなか	stomach	N5	Vocabulary
200	同じ		おなじ	same	N5	Vocabulary
201	お兄さん		おにいさん	(honorable) older brother	N5	Vocabulary
202	お姉さん		おねえさん	(honorable) older sister	N5	Vocabulary
203			おばあさん	grandmother, female senior-citizen	N5	Vocabulary
204	伯母さん/叔母さん		おばさん	Aunt	N5	Vocabulary
205	お風呂		おふろ	Bath	N5	Vocabulary
206	お弁当		おべんとう	boxed lunch	N5	Vocabulary
207	覚える		おぼえる	to remember	N5	Vocabulary
208			おまわりさん	friendly term for policeman	N5	Vocabulary
209	重い		おもい	Heavy	N5	Vocabulary
210			おもしろい	Interesting	N5	Vocabulary
211	泳ぐ		およぐ	to swim	N5	Vocabulary
212	降りる		おりる	to get off, to descend	N5	Vocabulary
213	終る		おわる	to finish	N5	Vocabulary
214	音楽		おんがく	Music	N5	Vocabulary
215	女		おんな	Woman	N5	Vocabulary
216	女の子		おんなのこ	Girl	N5	Vocabulary
217	外国		がいこく	foreign country	N5	Vocabulary
218	外国人		がいこくじん	Foreigner	N5	Vocabulary
219	会社		かいしゃ	Company	N5	Vocabulary
220	階段		かいだん	Stairs	N5	Vocabulary
221	買い物		かいもの	Shopping	N5	Vocabulary
222	買う		かう	to buy	N5	Vocabulary
223	返す		かえす	to return something	N5	Vocabulary
224	帰る		かえる	to go back	N5	Vocabulary
225			かかる	to take time or money	N5	Vocabulary
226			かぎ	Key	N5	Vocabulary
227	書く		かく	to write	N5	Vocabulary
228	学生		がくせい	Student	N5	Vocabulary
229			かける	to call by phone	N5	Vocabulary
230	傘		かさ	Umbrella	N5	Vocabulary
231	貸す		かす	to lend	N5	Vocabulary
232	風		かぜ	Wind	N5	Vocabulary
233	風邪		かぜ	a cold	N5	Vocabulary
234	家族		かぞく	Family	N5	Vocabulary
235	方		かた	person, way of doing	N5	Vocabulary
236	学校		がっこう	School	N5	Vocabulary
237			カップ	Cup	N5	Vocabulary
238	家庭		かてい	Household	N5	Vocabulary
239	角		かど	a corner	N5	Vocabulary
240			かばん	bag, basket	N5	Vocabulary
241	花瓶		かびん	a vase	N5	Vocabulary
242	紙		かみ	paper	N5	Vocabulary
243			カメラ	camera	N5	Vocabulary
244	火曜日		かようび	Tuesday	N5	Vocabulary
245	辛い		からい	Spicy	N5	Vocabulary
246	体		からだ	Body	N5	Vocabulary
247	借りる		かりる	to borrow	N5	Vocabulary
248	軽い		かるい	Light	N5	Vocabulary
249			カレー	Curry	N5	Vocabulary
250			カレンダー	calendar	N5	Vocabulary
251	川/河		かわ	River	N5	Vocabulary
252			かわいい	Cute	N5	Vocabulary
253	漢字		かんじ	Chinese character	N5	Vocabulary
254	木		き	tree, wood	N5	Vocabulary
255	黄色		きいろ	yellow	N5	Vocabulary
256	黄色い		きいろい	yellow	N5	Vocabulary
257	消える		きえる	to disappear	N5	Vocabulary
258	聞く		きく	to hear, to listen to, to ask	N5	Vocabulary
259	北		きた	North	N5	Vocabulary
260			ギター	Guitar	N5	Vocabulary
261	汚い		きたない	Dirty	N5	Vocabulary
262	喫茶店		きっさてん	coffee lounge	N5	Vocabulary
263	切手		きって	postage stamp	N5	Vocabulary
264	切符		きっぷ	Ticket	N5	Vocabulary
265	昨日		きのう	Yesterday	N5	Vocabulary
266	九		きゅう / く	Nine	N5	Vocabulary
267	牛肉		ぎゅうにく	Beef	N5	Vocabulary
268	牛乳		ぎゅうにゅう	Milk	N5	Vocabulary
269	今日		きょう	Today	N5	Vocabulary
270	教室		きょうしつ	Classroom	N5	Vocabulary
271	兄弟		きょうだい	(humble) siblings	N5	Vocabulary
272	去年		きょねん	last year	N5	Vocabulary
273	嫌い		きらい	Hate	N5	Vocabulary
274	切る		きる	to cut	N5	Vocabulary
275	着る		きる	to put on from the shoulders down	N5	Vocabulary
276			きれい	pretty, clean	N5	Vocabulary
277			キロ/キログラム	Kilogram	N5	Vocabulary
278			キロ/キロメートル	Kilometer	N5	Vocabulary
279	銀行		ぎんこう	Bank	N5	Vocabulary
280	金曜日		きんようび	Friday	N5	Vocabulary
281	薬		くすり	medicine	N5	Vocabulary
282			ください	Please	N5	Vocabulary
283	果物		くだもの	Fruit	N5	Vocabulary
284	口		くち	mouth, opening	N5	Vocabulary
285	靴		くつ	Shoes	N5	Vocabulary
286	靴下		くつした	Socks	N5	Vocabulary
287	国		くに	Country	N5	Vocabulary
288	曇り		くもり	cloudy weather	N5	Vocabulary
289	曇る		くもる	to become cloudy, to become dim	N5	Vocabulary
290	暗い		くらい	Gloomy	N5	Vocabulary
291			クラス	Class	N5	Vocabulary
292			グラム	Gram	N5	Vocabulary
293	来る		くる	to come	N5	Vocabulary
294	車		くるま	car, vehicle	N5	Vocabulary
295	黒		くろ	Black	N5	Vocabulary
296	黒い		くろい	black	N5	Vocabulary
297	警官		けいかん	policeman	N5	Vocabulary
298	今朝		けさ	this morning	N5	Vocabulary
299	消す		けす	to erase, to turn off power	N5	Vocabulary
300	結構		けっこう	splendid, enough	N5	Vocabulary
301	結婚		けっこん	Marriage	N5	Vocabulary
302	月曜日		げつようび	Monday	N5	Vocabulary
303	玄関		げんかん	entry hall	N5	Vocabulary
304	元気		げんき	health, vitality	N5	Vocabulary
305	五		ご	Five	N5	Vocabulary
306	公園		こうえん	Park	N5	Vocabulary
307	交差点		こうさてん	intersection	N5	Vocabulary
308	紅茶		こうちゃ	black tea	N5	Vocabulary
309	交番		こうばん	police box	N5	Vocabulary
310	声		こえ	Voice	N5	Vocabulary
311			コート	coat, tennis court	N5	Vocabulary
312			コーヒー	Coffee	N5	Vocabulary
313			ここ	Here	N5	Vocabulary
314	午後		ごご	afternoon	N5	Vocabulary
315	九日		ここのか	nine days, ninth day	N5	Vocabulary
